--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  7. principio            (Prob: 0.013899)
  8. prohibir             (Prob: 0.013899)
  9. niña                 (Prob: 0.013899)
  10. diciembre            (Prob: 0.009281)
  11. consulta             (Prob: 0.009281)
  12. arrebatar            (Prob: 0.009281)
  13. largo                (Prob: 0.009281)
  14. sensación            (Prob: 0.009281)
  15. charco               (Prob: 0.009281)
  16. protestante          (Prob: 0.009281)
  17. territorio           (Prob: 0.009281)
  18. desencadenado        (Prob: 0.004664)
  19. wannsee              (Prob: 0.004664)
  20. explicar él          (Prob: 0.004664)

==================== TEMA 11 ====================
  1. preso                (Prob: 0.039040)
  2. falta                (Prob: 0.027902)
  3. taxi                 (Prob: 0.022332)
  4. pulmonir             (Prob: 0.016763)
  5. polonia              (Prob: 0.016763)
  6. ayuda                (Prob: 0.016763)
  7. disminuir            (Prob: 0.016763)
  8. testigo              (Prob: 0.011194)
  9. buscar               (Prob: 0.011194)
  10. especificar          (Prob: 0.011194)
  11. río                  (Prob: 0.011194)
  12. firmar               (Prob: 0.011194)
  13. mortalidad           (Prob: 0.011194)
  14. declaración          (Prob: 0.005625)
  15. desfogar             (Prob: 0.005625)
  16. fugaz                (Prob: 0.005625)
  17. kilómetro            (Prob: 0.005625)
  18. rosario              (Prob: 0.005625)
  19. caber                (Prob: 0.005625)
  20. definición           (Prob: 0.005625)

==================== TEMA 12 ====================
  1. correr               (Prob: 0.039938)
  2. llamar               (Prob: 0.039938)
  3. hospital             (Prob: 0.039938)
  4. pobre                (Prob: 0.034952)
  5. ojo                  (Prob: 0.029966)
  6. gas                  (Prob: 0.029966)
  7. ejecutado            (Prob: 0.024980)
  8. edificio             (Prob: 0.015008)
  9. irka                 (Prob: 0.010022)
  10. horno                (Prob: 0.010022)
  11. infracción           (Prob: 0.010022)
  12. irma                 (Prob: 0.010022)
  13. trasladir            (Prob: 0.010022)
  14. campo                (Prob: 0.010022)
  15. amor                 (Prob: 0.005036)
  16. disciplinario        (Prob: 0.005036)
  17. origen               (Prob: 0.005036)
  18. preocupaba           (Prob: 0.005036)
  19. mirar                (Prob: 0.005036)
  20. apartado             (Prob: 0.005036)

==================== TEMA 13 ====================
  1. aquel                (Prob: 0.162638)
  2. birkenau             (Prob: 0.109905)
  3. visto                (Prob: 0.096722)
  4. enfermera            (Prob: 0.030805)
  5. tiro                 (Prob: 0.022016)
  6. recibido             (Prob: 0.013227)
  7. herido               (Prob: 0.013227)
  8. moler                (Prob: 0.013227)
  9. fecha                (Prob: 0.008833)
  10. disparar             (Prob: 0.008833)
  11. declarado            (Prob: 0.008833)
  12. acostumbrar él       (Prob: 0.004438)
  13. casado               (Prob: 0.004438)
